review_id,user_id,business_id,stars
t-VEc15PUzZ6J22p9-0eGQ,5V8eXkTJb6IejJkMDaj_Bw,XP0YZRa6Un25QaOH2g1ivA,5
dplW1r7gAmdjTa0jKNPraQ,0UI9KTPdtkwl9lMdMT-Sgg,XP0YZRa6Un25QaOH2g1ivA,5
VrCYYjW0sL0y844yVI1A_A,94HchNwPr69BdrF0On9uKQ,XP0YZRa6Un25QaOH2g1ivA,2
GPCJvIxCVlWsjeieEFjuFw,qibGLHABNReGeJr2w4_8yQ,XP0YZRa6Un25QaOH2g1ivA,3
Y3U8pVq56VOphPKXV83I5A,nPXVprOV3ioobtAc_s7-CA,XP0YZRa6Un25QaOH2g1ivA,4
z_n8SNgMxgMRmUH9rLTdbw,5V8eXkTJb6IejJkMDaj_Bw,OugQjN04sQNahWzYEdTExQ,4
CyPPk75E-iO2FAOO-YZqUA,YIMeEHUYm69m-Mqf-NjPHw,OugQjN04sQNahWzYEdTExQ,5
Wf_mHxY4PbGM41MHadFRow,ELcQDlf69kb-ihJfxZyL0A,OugQjN04sQNahWzYEdTExQ,2
LEoKq4KMX3MK04li8WYmPw,cMEtAiW60I5wE_vLfTxoJQ,OugQjN04sQNahWzYEdTExQ,4
nX0AixPkn9rCADh8piL5og,94HchNwPr69BdrF0On9uKQ,OugQjN04sQNahWzYEdTExQ,4
-KA2cow_oeJqCF8m8As42w,TQ9A1LVp6z-fIc494RsLDQ,OugQjN04sQNahWzYEdTExQ,5
njx_r4iUrN9j-fK1H3FdOw,BmipmKVTx37gpfPzK7eU4A,OugQjN04sQNahWzYEdTExQ,5
-6-QUwvOznT99KcE0Aa_9g,5V8eXkTJb6IejJkMDaj_Bw,dIqMQYs6tmowQUygS8sQ6A,5
AiQDTythVIb2uCDSGqGQaw,9uE0smG2bwgkI95RPj0lPQ,dIqMQYs6tmowQUygS8sQ6A,3
ZcPeDlCeYIMEoeCJV0ZU2w,WMMI5Q4Rmm1Rqdu0jOvyhQ,dIqMQYs6tmowQUygS8sQ6A,5
se35uEU73yqUmkInyFyu3g,8UPTxp6SXvQe6JoEbEGcyA,dIqMQYs6tmowQUygS8sQ6A,4
P9AHVa6dTLijIBAl8h4NsQ,DHQWSHz6b7Jsy-A04m1cIA,dIqMQYs6tmowQUygS8sQ6A,5
v5jGqfSu3wpdhZr05OmKhA,U2sN2-HGvh27FyXKFlvkBg,dIqMQYs6tmowQUygS8sQ6A,5
knVsUHAAYZJ0wjiu9i_u9g,ctXFXk9-m6PCMoI-Nz2_XQ,dIqMQYs6tmowQUygS8sQ6A,2
WMTflch9i07MiuBn8GmRzw,Q4Qfu-3vYtL1LRm2X1b0Gg,dIqMQYs6tmowQUygS8sQ6A,3
BMQZPxamR0N_WCERg-OSpQ,tJ1qdNdG0tZywbgH9uw9qw,dIqMQYs6tmowQUygS8sQ6A,4
jrgt30ybY6XsvQHbX8xqPA,M9rRM6Eo5YbKLKMG5QiIPA,dIqMQYs6tmowQUygS8sQ6A,3
KrwImYeXZyf0-mUmeWOfsg,2-XLTj0Cfd81_XlmHo02Aw,dIqMQYs6tmowQUygS8sQ6A,4
Tf9joxPX9vkTjplN7ZPHnQ,pwQ8E-hbDUJe3qtKt_IBBg,dIqMQYs6tmowQUygS8sQ6A,3
dMyZE_OUqvzO7f_MyIv4fA,cMEtAiW60I5wE_vLfTxoJQ,dIqMQYs6tmowQUygS8sQ6A,4
CYm9rUL1FxROR3swaGEUEQ,Z128ihQea7BLPh2T9q9sKA,dIqMQYs6tmowQUygS8sQ6A,4
4Qy-Wkohu0f_aqYzXRF_sg,AKXqbuifvfvNEpr3Qs51hQ,dIqMQYs6tmowQUygS8sQ6A,5
G7RcvVCjn3e1MIUwEMnAuA,94HchNwPr69BdrF0On9uKQ,dIqMQYs6tmowQUygS8sQ6A,3
oVJBYEwXdw5FT-lXAjBDSw,8SgjU2fID9VqKQooFt1DIQ,dIqMQYs6tmowQUygS8sQ6A,4
HRyUiZgIPpDDCj8h5MnHUg,U4INQZOPSUaj8hMjLlZ3KA,dIqMQYs6tmowQUygS8sQ6A,4
oDRXST1E_NU-ghUkT9JNwQ,nGoKau64-PtetuzfcRW3jA,dIqMQYs6tmowQUygS8sQ6A,3
1z9gEU0uEuKxmNptTJXdLw,RBZ_kMjowV0t6_nv2UKaDQ,dIqMQYs6tmowQUygS8sQ6A,5
OWlOzRulKP6RDJ_mk9C7kA,M4yYtAXehUzaHB1ghl6EXg,dIqMQYs6tmowQUygS8sQ6A,4
oHGdyUgdGDWBu7wvrkNORA,SkeqMYpoLPJZ2_gqkpKN7Q,dIqMQYs6tmowQUygS8sQ6A,4
cG8bNLlcm5s-U9PhJAq46A,Tsm8VraTp5OGyVALtUiCeQ,dIqMQYs6tmowQUygS8sQ6A,4
9Wjqc__cvQNr5WVEwC-v-A,YpGt3hdq5adPlEFn9fQ2Zw,dIqMQYs6tmowQUygS8sQ6A,5
udmAakL6clisplkqCV8AVw,d_TBs6J3twMy9GChqUEXkg,dIqMQYs6tmowQUygS8sQ6A,4
reT1TwYqo0LC-3Il81LDLg,tM84r9rP7XTjX4SnRzviMA,dIqMQYs6tmowQUygS8sQ6A,5
nSaLE0Un3DYgQDprI---Kw,sjWvk3DZapZ-9ULAFtDmYw,dIqMQYs6tmowQUygS8sQ6A,3
A31ulyjXGec2Y6FcJl9UKg,NsegE9Mqm3GCQeSx0v0tYw,dIqMQYs6tmowQUygS8sQ6A,4
OfxL08PZnSva4dwLmfsn4w,ffPY_bHX8vLebHu8LBEqfg,dIqMQYs6tmowQUygS8sQ6A,3
4YRDUvpC4_PfwMj3nVL3vg,gH3JDpHQfVcMEGaAaCJPjA,dIqMQYs6tmowQUygS8sQ6A,5
dKVM5WfdIZ2QCQERzE7AZw,5uiCy0vSIknuDEHc7yHRkw,dIqMQYs6tmowQUygS8sQ6A,5
usCbpfkoQPOnpv6DUWPPWg,WJKocp9RE0KatUwh3_DkGg,dIqMQYs6tmowQUygS8sQ6A,5
tphh7-z3t4aOdPckD3hv7w,gScmsSCqBeFPp6q9yG5nmw,dIqMQYs6tmowQUygS8sQ6A,4
-l1d80j0bJ1TkDc9V80NlA,5V8eXkTJb6IejJkMDaj_Bw,RyJIi1IP0UQ5qGbwazgsIA,2
vBqBlTv-rdA9Gtn17rZvWg,mTM1yxoV9I0_SSK1mLldmA,RyJIi1IP0UQ5qGbwazgsIA,2
AmS25s_hYeeJyAqCJkUCpg,1sGYXSkJHPhJ6wQtc-RbZw,RyJIi1IP0UQ5qGbwazgsIA,1
xD4nljGjq3-CRKHnSXMEDw,ELcQDlf69kb-ihJfxZyL0A,RyJIi1IP0UQ5qGbwazgsIA,2
CuKLh_8mCXvdsS_bAgbkhQ,jjogE_kPPMjxKvDEFlct6w,RyJIi1IP0UQ5qGbwazgsIA,2
t8s3jdsZ35DHkSl21R0TVw,8ZryN_S-n48g6rsa3W3QtQ,RyJIi1IP0UQ5qGbwazgsIA,1
y7es8_2bhsmc4tKEWJ4HBg,Rzf35jKV8e8EJdssrae_AA,RyJIi1IP0UQ5qGbwazgsIA,3
rPUGDZP6K_T9D4PKtK6PJg,B7AjB8W2BWJtXPjweJs9pw,RyJIi1IP0UQ5qGbwazgsIA,3
6mmZvEHTGSZ6nHIzte1YQA,N6ZTMIue-2b30CJv2tyPGg,RyJIi1IP0UQ5qGbwazgsIA,4
bIICLpsHwbnjHTQpiYDMNg,iDlkZO2iILS8Jwfdy7DP9A,RyJIi1IP0UQ5qGbwazgsIA,2
rlHmO73j5HsG5mtfq4Qx0w,CWWjR_FeCVTln402tqRIxQ,RyJIi1IP0UQ5qGbwazgsIA,4
RspXL3ieVwgxjnUARYb9gg,5jWaMozd4Ffi9YGwCC3QQw,RyJIi1IP0UQ5qGbwazgsIA,4
4adMnuouCbSyHIYKAs0moA,gIWzYF7HQ8FPhPZ8e1xhuA,RyJIi1IP0UQ5qGbwazgsIA,3
O8viF4FKrwhWjc_yB6Eb3A,1l_O3VEl9TV_JjKAzzyz0Q,RyJIi1IP0UQ5qGbwazgsIA,2
HBHABPQqXkY4q9m_8OCVyw,DzyBToexbfik0zt7ppky-Q,RyJIi1IP0UQ5qGbwazgsIA,4
w7_egzkOwpp2L0fq_hC-qg,-tQ3UVVdNBZBR_HOVFROzw,RyJIi1IP0UQ5qGbwazgsIA,3
akn0jkQtiRf2ckJLIHaR2w,7sNE58P4AvsX6QHE8ypCiA,RyJIi1IP0UQ5qGbwazgsIA,5
cxMdJ5fYgBgKuXC82NxkuA,bxBR0vakC_OAU-5rCYCDsw,RyJIi1IP0UQ5qGbwazgsIA,1
8HFJ8tBAutLhfcxZ_GYzoQ,z5TgzjEw8YfEbD4KkgKRxw,RyJIi1IP0UQ5qGbwazgsIA,2
9GmIT7FcGEO2h9MsO5QpMQ,Isf8G6HPbNqEisKDjmUlbw,RyJIi1IP0UQ5qGbwazgsIA,2
RLcpgD1-I3CW45aokfgZXA,JmhVFueYvJe0CsUddwuajw,RyJIi1IP0UQ5qGbwazgsIA,3
14ohkSs1IbC4_chzyjxfXQ,pQdIIsbV5dGOVz_kWfMRTw,RyJIi1IP0UQ5qGbwazgsIA,3
tkI0l6giIFxAl1z7bL0zaQ,gScmsSCqBeFPp6q9yG5nmw,RyJIi1IP0UQ5qGbwazgsIA,1
